screen_name,description,label,,,,,,,,,
danny_bluestone,"Believer in stoicism and kaizen, tech and IxD/UX is my thing; father duck of @CyberDuck_UK Noa Judith and Lily Ray. Political views my own.",31-59,,,,,,,,,
ewanorandy,"Sheff Wed,Man Utd,  Wigan Warriors,Villa The Saturdays, and coleslaw :-) Don't be shy, your mother wasn't ;-) Coldplay, Noel gallagher #twitter92 I RT a lot ☺",,,,,,,,,,
SlomanZoe,UK Vetran and mother of 5 🇬🇧,31-59,,,,,,,,,
PA42day,"Grumpy father of 3 , Red  politically & football wise  Loves life ,music & baking bread.",,,,,,,,,,
JonEnglish67,"Single parent kids grown up so now free woohoo, what to do 🤔 don't do hangouts or WhatsApp",31-59,,,,,,,,,
petenew100,"a dyslexic grafter that wants a future for my children 🇬🇧painting and decorating advisory service,proud father of all my kids, massive women football fan.",,,,,,,,,,
gazibs,Interested in politics.. Husband and father of two.,,,,,,,,,,
jagurney39,"Husband of Linda, father of Phil and Pete. still doing a bit on the cricket square and playing some bowls.",over60,,,,,,,,,
hafley_juanita,I am a loving wife and a loving mother of two boys. also click on link and please donate to Alex https://t.co/oxzMd9t7Gg,,,,,,,,,,
KatieJames76,"Wife, mother (since 22/1/2013) sister, daughter, friend, runner, swimmer, worker bee. I enjoy socialising, reading, cooking, and running.",,,,,,,,,,
Amandalavan1,"I am a mother of identical twin boys and a HUMAN RIGHTS Defender, dedicated to justice. I support #FreeNazanin and #Gabriella. SIGN- https://t.co/orHbk3hI7b",,,,,,,,,,
julieannebirch,"Committed brexiteer, Conservative Party Member, GP, wife, mother of two, keep chickens, pigs and sheep on smallholding, interested in politics! Own views only.",31-59,,,,,,,,,
karltheref1983,"Dedicated parent and husband, and a half decent referee",31-59,,,,,,,,,
tighdave,ex Met my father above Queens Own Highlanders my other family.,,,,,,,,,,
gaillas,"Founder of Love Barnet, digital media bringing retail, business and the community together in Chipping Barnet. Busy wife mother grandmother!",31-59,,,,,,,,,
PJJames50,Husbund father lawyer and ever hopeful punter on golf horses and football,,,,,,,,,,
JulySep53,"British-Turkish Cypriot
Happily married mother of 4, close to retirement-
Remainer- pro Palestinian independence",,,,,,,,,,
joseph_carterUK,Councillor for Pentwyn and Llanedeyrn | @cardifflibdems housing & social services spokesperson | husband and father of two,31-59,,,,,,,,,
kmcdade81,Married to Stuart and mother to my 7 year old daughter lauren and 5 year old son ross.,,,,,,,,,,
kjwest69,"A Liberal and Democratic Liberal Democrat. Married father of two British Europeans. #FBPE

Follow me back!",31-59,,,,,,,,,
mattersofpersp,"Small business owner, parent to Emilia and Alex.",,,,,,,,,,
mikefcox,"Chartered Accountant, Liberal Democrat and Bolton Wanderers supporter but more importantly a son, husband, father and grandfather",over60,,,,,,,,,
Hogmeisster,"Unofficial UK Ambassador to the Red Sox Nation, LibDem father to Tim  & Emily (who just happens to have Down's) -  ne me blâmez pas j'ai voté Restez",,,,,,,,,,
ormond_rebecca,Inclusive Workplace Leader focused on culture and change. Working mother of two rioting boys who bring joy and grey hairs in equal measure. All views are my own,,,,,,,,,,
thinkthisthru,"Translator (French and Spanish, mother tongue English).  Interested in world affairs and the arts.",,,,,,,,,,
iamthegruffalo,"HMS Queen Elizabeth Class Output Management Team, Ex-RN WO, Husband of Hayley Wood, proud father to Amber. Views are my own.",31-59,,,,,,,,,
sidtaylor_26,Currently working in Mayrhofner Austria father to 4 daughters and married to the lovely @pennytaylor03,31-59,,,,,,,,,
linbethfld,Joined in 2009 not in 2014 mother to Vicky and Ian grandmother to Sterling and Archie Supported Spurs for 50 years dog lover ex long distance class 1 lorry driv,31-59,,,,,,,,,
joecam6,Hard working single parent with a bit of Arsenal and NFL too,,,,,,,,,,
Stephen09039609,"Marksman, history lover, Arsenal fan, patriot and father to two fantastic sons.
Love life and always positive.
My catch phase is ....
Seize the moment!",,,,,,,,,,
ProtecttheFaith,"Salvation of souls. Nothing else matters.  Husband, father to Gabriel & Ariel, deacon. Confess Faith in time of heresy. Antisemitism/Holocaust denial blocked",,,,,,,,,,
Richard_Rimkus,"Charming, welcoming, animated father and husband. Member of Executive Committee @Huccat. Chairman of @FriendsBaltic. Chief Editor of @Con_Global",31-59,,,,,,,,,
p4ulmiller,"Devoted father and grandfather. Proud neoliberal, Royalist. Reinvigorated Tory, staunch Brexiteer. Born to aspirational, self-employed, working-class parents.",,,,,,,,,,
JTittaM,"Catholic, portuguese, Conservative-Liberal, husband, father of 4, Faculty of Law at Universidade Lusófona (Lisboa - Portugal)",31-59,,,,,,,,,
marydenney12,A mother  grandmother  and  me and my  family are all palace fans i was born in London,,,,,,,,,,
antoniacox,"Free school founder, local councillor and education campaigner, ex-Daily Telegraph commentator, mother of three grown-ups!",31-59,,,,,,,,,
TheDuckers73,"experienced educator with a love of geography 🌍, father of 2 fantastic young adults, lover of all things rock based 🎸, likes the odd 🍺, ⚽️ fan.    European.",31-59,,,,,,,,,
SandraBognor,Happily divorced mother of two adult sons.,over60,,,,,,,,,
monza57,"Self employed, gadget man, Rotarian, father of 2 great kids #Brexit #democracy like Europe hate the EU",over60,,,,,,,,,
incedigital,"Cyber security expert, father of twin dragons, blood red Liverpool fan.",,,,,,,,,,
julie_hymes,Love of humanity and nature. Patriotic Brexiteer. Dog lover. Happily married mother of 3 grown up children. No DMs,31-59,,,,,,,,,
CharlesOneton,Printers Engineer / Heidelberg / anything goes / CMYK / go green / father of 3 still learning from them .Catch and Release . Sportsman .,,,,,,,,,,
JoetheBaron,"teacher* blogger* writer* Arsenal fan* father of two* husband* published in The Spectator, The Telegraph, The Sun and ConservativeHome*",,,,,,,,,,
gsm85wfc,"crazy walsall fc supporter, chef, father of 2 , views are my own  not my wifes 😂",31-59,,,,,,,,,
maripine,"Financial Adviser,  blessed mother to five fantastic individuals and loving a fulfilled life in Herefordshire. All views|posts are my own!!",31-59,,,,,,,,,
pumpkingirl89,"A  Welsh Gothic wife and mother with green/ blue hair, who loves being a mum, listening to rock music and of course shopping.",,,,,,,,,,
ron__west,"Husband, father of 4, Director of Excel & database consultancy. Rowing GB NSR medallist. RTs posted for information & are responsibility of the original poster.",31-59,,,,,,,,,
stevehollyhouse,"‘Oh father of the four winds fill my sails, to cross the sea of years, with no provision but an open face, to flaunt the straits of fear.....’",31-59,,,,,,,,,
Dellacate,"Vets wife & mother of 3. Passionate about North Wales, great place to live and a fantastic place to do business.",31-59,,,,,,,,,
RowlandPippa,"Evangelical about cycling, Londoner, mother and reinsurance broker. Views my own.",31-59,,,,,,,,,
leefranafc,Ex Professional Footballer Arsenal Chesterfield Yeovil Enfield Now London Cabbie Husband to Michelle father of 3 lovely children.gooner for life.7 hndp golfer.,31-59,,,,,,,,,
NICK26215,Husband and father fighting for Brexit and the future of this country. Brexit must prevail .,over60,,,,,,,,,
GavinElsey1,"Business consultant, councillor and according to some part time artist, with a love for good food, wine and whisky. Proud father of two great girls",31-59,,,,,,,,,
JFaith1979,"Nurse consultant , wife, and mother of 2, Huge Ohio State fan.. Go Bucks...",31-59,,,,,,,,,
IzzardR,"Living my best life, following my dreams. Wife, mother and dog whisperer 🐶😂",,,,,,,,,,
bvulliamy,"Doing my best to be a Charity CEO, charity trustee, father & husband. Tweeting in an entirely personal capacity. Loving all things York and Yorkshire. #teamkind",,,,,,,,,,
MoragHamilton10,I'm a white British Scots leave eu voter. I'm 54 and a mother and grandmother.😀 I'm from Glasgow in Scotland. x😀,31-59,,,,,,,,,
RJFrench61,Retired! Married father of four who doesn't know where he found time to work,over60,,,,,,,,,
Watsonmrk,"Pro Brexit. Husband, father of 4, business owner. Football,cricket, dog and animal lover in general.",31-59,,,,,,,,,
lorraine_bliss,"CEO St Edmunds Society, Champion of disadvantaged young people, wife, mother and grandmother extraordinaire and passionate Arsenal fan.",over60,,,,,,,,,
capitalchrisw,Proud father of twin girls. Gardener. Business owner. Trader P/T.,31-59,,,,,,,,,
PaulGreenland1,"Husband to Karen, father to Matthew and Hannah. Vicar of St Andrew's Chelmsford. Passionate about Mission and Evangelism and Ecumenism.",over60,,,,,,,,,
positiveactio16,i ask the father in jesus name for a peaceful prosperous safe and happy mother earth and all her inhabitants forever!!! amen,,,,,,,,,,
MarkDav2016,Born in England to a Welsh father and a mother whose maiden name is Burn. Proud to be British. Pro Brexit Anti Racism. Boris Make it Happen.,31-59,,,,,,,,,
Chrislovethyr6,"Trackday dreamer, works for J&s at our oakmere mega store, proud father of Emily, Katie & Thomas, crazy in love with my beautiful wife miss Katy Johnson ♥️💍😍",31-59,,,,,,,,,
Michellshelle1,"Proud mother of J & L, CEO, TRG Media LLC;host, National Security Magazine, Deep State Radio;next book""Courage"". #MEGA #Trump2020 #followAllPatriots",,,,,,,,,,
charalaar1,"Partner, mother and friend. 💗",,,,,,,,,,
WWRaff,sister - mother - fashionista - wife -creative - champion - bitch - vegan - smart-ar5e. All views here are my own and not that of my employer.,,,,,,,,,,
kevinmc_neill,"Director of Insurance Broker and Children's Day Nursery,involved with Oisin Gaa.Married and father of 3.",31-59,,,,,,,,,
ChippStephen,"Cllr Stephen Chipp Southwick Green ward - Adur Council. Married father of two who has lived locally in Shoreham, West Sussex for over 12 years. Views my own",31-59,,,,,,,,,
AlMcDonnellSB,"Former SDLP MP and MLA for South Belfast and former SDLP Leader. Proud European 🇪🇺. Married to Olivia and proud father of 4; Dearbhla, Ruairi, Oisin, Aileen.",over60,,,,,,,,,
bullrike,"Full-time parent & part-time bookseller. And collector of books, especially children's books & Austenalia. There are more of us. @York4EU",31-59,,,,,,,,,
mickhodges,"Consulting Software Engineer, father of 2 wonderful daughters, bike rider BMW R1200GS 🏍",,,,,,,,,,
ronniehorlock,"Submarine Medical Services Officer, husband and father to 2 fantastic sons.",31-59,,,,,,,,,
neildenham_neil,"Lover of the light, concerned citizen, father and grandparent. Interested in people, politics , history and current affairs. Follow the mighty Brentford FC.",,,,,,,,,,
comsen541,G/father fought 1WW father fought 2WW don't like politicians self serving liars don't like what's happening to this country definitely don't like EU& foreigners,,,,,,,,,,
UK_stevo,"Aviation consultant, traveller, husband to Ramani and father to Evan. steven@skylightaviation.com",31-59,,,,,,,,,
Lee40014497,Proud father to my son Rocco. Solider in the British Army. Rugby League player and St Helens Fan.,,,,,,,,,,
heyesy3237,Loving father to three beautiful kids #bwfcfan pro  #brexit football maniac.,31-59,,,,,,,,,
Whitebeamsebus,"Happily married. Proud wife, mother and grandmother, who loves exploring our amazing world. Work hard, play harder, family is everything.  Voted Leave.",,,,,,,,,,
dangissane,"I turn websites into profit-making machines. Founder of ADDtrepreneur, the resource for ADHD entrepreneurs. Politician, Trustee, father of 4.",31-59,,,,,,,,,
FrancisLillie,"Technology Manager, martial artist,former video games writer, husband, father of 3, disillusioned, grumpy, old man.",31-59,,,,,,,,,
RhysBeynon73,"Heart rhythm doctor, married to physician/Diabetologist and father to three girls. #medicalconservative, loves the mountains, sea kayaking and good food",31-59,,,,,,,,,
stephentbarton,"Fortunate husband and father of three great kids 
Pichon Longueville Baron addict and a Tanqueray Ten aficionado",31-59,,,,,,,,,
geografoandaluz,"Scientist in #rural_landscapes @ICAAM_UE embracing #complexity & #uncertainty, #optimist, #green, #EUropean, father of #piaypepe, married to @ximena_maier",,,,,,,,,,
crazycrowflies,"Crazy mother of two wonderful boys. M.E., Autism, Fibromyalgia, Counselling, travelling and food!",31-59,,,,,,,,,
Cavedan75,"company director,bailiff for ware angling at Roydon marina,married and a father of two",,,,,,,,,,
chappersavfc,husband to a beautiful wife • father to 2 amazing daughters • FA Coach @ Burton Albion FC • #VTID,31-59,,,,,,,,,
BirdTbird,"Wife of 38 yrs, mother to 2, grandmother to 8! Film buff, book worm, surprisingly, a music lover. Travel, eating out, friends and family.",31-59,,,,,,,,,
CllrIanParker,Coulsdon Town Councillor and Conservative Party Agent. Yorkshire born and bred. Proud father of two.,,,,,,,,,,
Snookersarah,"Busy mother of 4. Snooker tables. Politics. DC Tonbridge, Edenbridge & Malling Cons. Chair MGSPA.Treasurer MMKSFL. Borough Councillor Wateringbury ward on TMBC",,,,,,,,,,
nick08120917,"proud husband to Claire and father to Ella, Alice and Maggie-Moos 🐶❤️. spurs fan, sports fan. believe in Britain",,,,,,,,,,
brownbrowncony,A wife. A mother of a doggie. A HKer. New to twitter. Stand with Hong Kong no matter where I am. Anti-Chinazi.,,,,,,,,,,
darrell1460,"Anglo/American patriot 🇬🇧🇺🇸🇮🇱🔱 Proud father & grandfather For Britain member. No time for Islam socialists & morons in general. 
NFFC",,,,,,,,,,
Dannythefink,"Times columnist, Conservative member of the House of Lords and father of three.",,,,,,,,,,
Coolkama,"Slowly turning into Victor Mulgrew,  I swear! Birmingham born and bred. A software developer, father of 5 and now a Grandad too.",31-59,,,,,,,,,
MattCJBaker,Former professional football now with dodgy knees.,31-59,,,,,,,,,
UKPolicePensUtd,A platform for us Old&Bold Cops still drawing breath & pension; sitting on loadsa corporate memory & experience. Speaking up for those still serving who can't.,,,,,,,,,,
LisaCrosher,Person with over 35 years experience. Parent of 3 feral kids. Wife of a blunt but patient man. Fan of the colour green.,31-59,,,,,,,,,
MC_IT_Training,Maintaining standards while everaging state of the art systems with established expertise to benefit individuals and communities.,,,,,,,,,,
rakehurst2,Proud Brexiteer. I have just entered my ninth decade of life’s experience. Many good things have happened but many bad things too. Bad parenting is my pet hate!,,,,,,,,,,
indiapolo,"Social work professional  Born in Uganda ,Residing in UK. Indian origin. Interested in spiritual learning and community/voluntary  work. Love India.",,,,,,,,,,
DanielS46378626,"Rat Catcher, expert in very little, compassionate person.",,,,,,,,,,
TrickyDicky47,"Forty seven years experience in civil and structural engineering, including twenty seven years in positions of management. Projects have ranged in value to $75M",over60,,,,,,,,,
jonquin81721408,Followed tax planning advice from professional tax advisors and now find myself continually bullied and intimidated by HMRC,31-59,,,,,,,,,
uncleporkie,"Years of publishing, retail and broking experience resulting in a wealth of common sense, cynical humour & expectation.",over60,,,,,,,,,
FensecLtd,"Fencing & Security, Automatic Gates, Bollards, Barriers, Turnstiles, Gabions, Designers & Constructors. 35 Years experience at all levels.",,,,,,,,,,
HuntersBR7,"An independent estate agency franchise owned and run by Adrian Lawrence with 30 years experience in property, over 20 in Chislehurst.",,,,,,,,,,
EfficiencyNorth,Not-for-profit organisation making a difference to member landlords' communities in Yorkshire & Humber with innovative professional services  for social housing,,,,,,,,,,
Graham4Health,"Providing expert, professional advice on private medical insurance and cashplans for SME businesses, professionals and individuals",,,,,,,,,,
GemmaOTPhD,Photo elicitation. Lived experiences of older women. Occupational justice. Social action #occupationaltherapy #feminist Proud @Girlguiding volunteer,31-59,,,,,,,,,
theRCOT,RCOT is the professional membership body for occupational therapy staff in the UK. Join us today https://t.co/4riZmlw1tv,,,,,,,,,,
tonyhazell3,"Retired Media professional who can now say what I like,  love Europe but hate the EU and the only Tory in the village",over60,,,,,,,,,
suepascoe001,My life experiences made me who I am. My choices today will make me who I am tomorrow. All posts in my personal capacity. Retweets or likes not an endorsement.,31-59,,,,,,,,,
SouthShieldsOni,"Conservative Parliamentary Candidate for South Shields. Procurement, Supply Chain, Logistics expert.       Facebook; Southshieldsoni",31-59,,,,,,,,,
Tim267626,Ex MD of Hosefast Hydraulics Plymouth. Lived in Cornwall most of my life. Love our chocolate lab who keeps me fit. Now retired and expert in roses !,over60,,,,,,,,,
RushiMillns,#GE2019 @Conservatives candidate | IT professional turned teacher | @cwowomen Digital | @WindsorTories Executive | @MCA_Tories Officer | opinions own,31-59,,,,,,,,,
JohnStanners,John Stanners is an experienced and effective director with a background in software and telecomms and a strong understanding of business strategy.,over60,,,,,,,,,
StabilisationUK,"We are the UK Government's Stabilisation Unit. 🇬🇧🌍 We provide expertise to build stability, prevent conflict and meet security challenges internationally.",,,,,,,,,,
armywife2278,"Proud army wife, retired professional photographer, transcriber. Mum of 3. Bisexual. Dog lover. DMs ignored.",,,,,,,,,,
womenindefence,"Building a platform for networking, discussion and exchange of ideas and experiences. Follows, retweets ≠ endorsements.

#WeAreWomenInDefence",,,,,,,,,,
flagkilo1,"Cheerleader for RN & RNR
Media and Communications professional 
Always Learning",,,,,,,,,,
HenryPryor,Buying agent & “the BBC’s favourite property expert”. 🏡,31-59,,,,,,,,,
john_lipnicki,"Prototype - poet-type , citizen deviate of the parish , bemused muser and ex-muso experi-mentalist , anarchytect and scribbler. Born Stratford London E15",31-59,,,,,,,,,
Flash430,"""Semi-retired"" 35yrs expertise Prop Trdr/Hedge Fund Mgr, ""Top 1%” alpha generator #belowradar Not Invest Advice, not selling stuff, Imperial College M.Eng #YNWA",over60,,,,,,,,,
SteveMcfirerisk,"Independent fire, security & resilience expert. International innovator, researcher & campaigner. Public speaker, media commentator & technical author.",over60,,,,,,,,,
north_joanna,Tweeting about Brexit and politics. Pro EU membership and pro experts. London.,,,,,,,,,,
MetalMummy37,"parental, professional and governance driven interest in education; citizen driven interest in politics; faith driven interest in Jesus; freelance caryatid🎪",,,,,,,,,,
EgpGeoff,part time East Yorkshire legal professional - wills - probate - powers of attorney - deputyship - elderly client issues,over60,,,,,,,,,
Barders1,"Film is both my profession and my passion, and I like to engage with people around the world who share my love for moving image. All views expressed are my own.",31-59,,,,,,,,,
RichardCOUCHMAN,Football nut.(Oxford United)  Business enthusiast who would like to pass on his experience. Good and bad :-) And lover of travel skiing tennis golf.,,,,,,,,,,
Lady_yassaie,#PVKeyBoardWarrior Patient safety remains at risk in Berkshire West while professional body victimises WBer based on vexatious referral.,31-59,,,,,,,,,
JaneFeathersto1,Jane Featherstone is an inspiring garden designer working in London. Jane and her team create stunning gardens in a professional and thoughtful way.,,,,,,,,,,
AnalysisBrexit,Camilla Fanning Applying EU expertise & creative analysis to Brexit (MFA; Assoc Lecturer on EU; Views my own),,,,,,,,,,
jimboy__,"I’m not an expert in anything , but I listen to them, does that count?",,,,,,,,,,
dsagramoso,"Lecturer in Security and Development, Department of War Studies, King's College London, expert on security in Russia and Eurasia. RT, Follow is Not endorsement.",31-59,,,,,,,,,
gm_stone,Personal Twitter account - not tweeting in any official or professional capacity.,31-59,,,,,,,,,
mirabarhillel,Israeli-born writer/broadcaster now estranged from her Apartheid birthplace and fighting for justice. Housing expert. Neither fear nor favour.,,,,,,,,,,
ChrisRobinson58,"Independent lawyer in Northampton and Milton Keynes, England, providing clarity and experience in corporate law",31-59,,,,,,,,,
MicloutT,"English, Californian educated, Liberal, and a European finance professional 🇪🇺Ex French resident, now in Surrey. Campaign to change FPTP.",,,,,,,,,,
blondepreneur,"Dyslexic #PR  #TwitterExpert  + #SoftSkils expert who loves tea, cake, animals, GIFS, & talking Host of #BlondeBizChat  Coming soon!😀 0044 7966 780663",31-59,,,,,,,,,
hjplan,"newly self employed? very experienced in small business, startups. monthly accounts, benefits, sales, marketing budgeting? contact  hjplan@hotmail.com",,,,,,,,,,
cci_qs,Providing professional and dependable quantity surveying services. We can provide you with the cost control to keep your project within budget.,,,,,,,,,,
NottiCaldo,"Maverick by nature, rebel by heart, conservative by experience, independent by design, Italian by lineage. Love animals, believer in animal rights. Pro-Brexit.",,,,,,,,,,
Carla_Parrish,Brexiteer 🇬🇧🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🇬🇧animal rights advocate 🐶🐝🐒30yrs business experience 🧮💷🖋sick of cults that are oppressive,,,,,,,,,,
inspiringJH,"I help people #love themselves again. #weightloss coach, #health and #fitness #trainer and emotional management expert. I live and work in #birmingham",31-59,,,,,,,,,
NickRees50,"Indoor Hang gliding expert, ex test pilot for Airfix. love my world..🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧🏴󠁧󠁢󠁷󠁬 FREEDOM COMING",31-59,,,,,,,,,
ailsybabe,Proud to be British. Plenty life experience. Have faith in my country. Follower of many parties. Member of one.,,,,,,,,,,
Sinnergy081,Zero expert.Shunya to Ciphers.Big Bang to  Matriarchy.,31-59,,,,,,,,,
GavinHoulgate,"Communications and media consultant - mostly in law, accountancy and professional services. Former editor at Sky News and BBC News.",31-59,,,,,,,,,
MrAlignIT,Over 20 years experience in IT based business transformation. I thrive on change and the challenges surrounding change. Technology Investor and believer in UK.,,,,,,,,,,
jeffsewd,Travelled extensively through long professional  involvement with the global mining industry. Can view the world from all angles.,,,,,,,,,,
naectegale,Interested in lots of things but expert in doing nothing,,,,,,,,,,
ProgContra,"London-born, immigrant parents. Culturally English, ethnically not. Scientist by profession & inclination. Working in oncology. Ex-Left. Brexit Now!",,,,,,,,,,
MalHay,#nonstunslaughter is barbaric. Values UK Heritage & Independence. Have strong opinions derived over many years experience & able to argue my case. Self employed,,,,,,,,,,
infidelsaracen,"Heavy Tea drinker..and professional at getting fit from Injury !. Instructor on military matters.
Pro Democracy .Godless",31-59,,,,,,,,,
LizardEyeSue,"Novice tweeter, experienced cynic, living in Dartmouth",,,,,,,,,,
Miniclipperchat,"Fast growing, professional 2nd generation haulage/warehousing business, Miniclipper Logistics is a 3PL warehouse & transport company near London & Milton Keynes",,,,,,,,,,
Bernard_HG,Bernard Humphrey-Gaskin is a designer of buildings and has 2 boys (young men) and a great wife.  Also experienced Party Wall Surveyor.,31-59,,,,,,,,,
pcavin2,Criminal lawyer...not an expert in anything other than..views my own...love Twitter for the informed discussion I get from following the well informed.,,,,,,,,,,
stevema67740989,"Political scientist with a professional interest in housing and logistics, seeking practical and theoretical solutions to UK political problems.",,,,,,,,,,
benmoores2,Procurement Policy Advisor to the Sec of State for Defence. I also tweet about professional applications of wargames. Opinions own. RT/MT N/E,31-59,,,,,,,,,
OliverLissimore,"My corporate IT experience ranges from work in the NHS, a number of Law Firms, and the NEC in Birmingham.
I have been running my IT consultancy since 2007.",31-59,,,,,,,,,
LetsGoLudlow,"Insider’s guide to Ludlow 🎙local interviews 🥳what’s on 📰 local news, views & reviews 👩‍💻social media expert 🍺Eat, live, stay! #letsgolocal",,,,,,,,,,
abananastale,Sharing the experiences of a first generation Latina immigrant living in the U.K.,,,,,,,,,,
P_Clothier,"Marketing/PR professional and business owner, blessed with common sense, good humour and a passion for going the extra mile for clients.",31-59,,,,,,,,,
aswelly366,"22 years army, now self employed gas engineer and semi professional poker player, 1892 was a good year.  Full on Brexit 👍🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿.",31-59,,,,,,,,,
MRAJPalmer,"Technology leader (CITP) with @Mastekltd Warning, Tweets might contain professional opinions on Agile, Quality and Culture",31-59,,,,,,,,,
MissDebsMiller,"Psychotherapist, eternal student, BSB fan, wannabe professional fangirl, animal lover #fibrowarrior",,,,,,,,,,
chris_scott1530,"Rocket ship builder, pizza expert, gin lover - Dad above all - all views are mine, all mine.",,,,,,,,,,
x333xxx,I'm a digital transformation specialist (20+yrs experience). Former digital lead for The D-Day Story. I'm ready now for my next challenge. 🏳️‍🌈,31-59,,,,,,,,,
Helen_Lacey,"MD of Red Berry Recruitment, offices in Shepton Mallet, Yeovil and Bridgwater. 20 years recruitment experience, business development and management",31-59,,,,,,,,,
TotallyFD,2019 Finalist “FD of the Year” @#BritishAccountancyAwards. A highly motivated professional who relishes a challenge and works with pride to achieve results.,31-59,,,,,,,,,
MichaelPiliOCod,"Decades of experience in the Fish Frying & Catering Industry. Trainer, Assessor and Judge of various competitions. Consultancy. Long suffering Villa Fan.",,,,,,,,,,
rodhirschwriter,"B2B technology writer/content creator/editor with 30+ years’ experience of solving problems for start-ups and big brands, agencies and direct clients worldwide",,,,,,,,,,
hairlossclinic1,"Westminster College, Civil Engineering.                30 years experience as a Biosthetician and Dermo Trichologist. Hair and Skin Specialist.",,,,,,,,,,
MummyGye,"40 years in the voluntary sector. Mother of a teacher, a nurse, a speech & language therapist, a charity professional and a journalist. Grandmother of a baby.",,,,,,,,,,
Michael31150n,"Retired Aviation Finance expert, part-time architect, photographer, artist, diggerman, and dad",31-59,,,,,,,,,
kuha4harrow,"#Oracle HCM Consultant with Central, Local government & Private sector experience. Conservative Party activist. Committed to protecting the interests of ALL.",31-59,,,,,,,,,
DrUmeshPrabhu,"Medical Director in two Acute Trusts for 15 year Keen on patient safety, professional regulation, equality and diversity, Leadership. Tweets are purely personal",31-59,,,,,,,,,
Mature_Sceptic,Wide experience of life. Sceptical of all politicians. Strident for exit from EU and control of immigration. Retweets not necessarily an endorsement.,,,,,,,,,,
voydescalzo,"Pharm., Ms. in Sales&Mktg, Healthcare professional in its broadest sense. Tireless learner, social animal, team player, Ducatista&father. Shaping the microbiome",31-59,,,,,,,,,
GlennHorton1,"CEng(fire) with 30yrs+ experience. Has fire service & commercial experience, has worked in the UK, Europe, Africa, Asia, Middle & Far East",,,,,,,,,,
PharmaPC,"Breeding Pedigree Beef Cattle and Endurance Horses, Macro-Economist and self-styled expert on Space - an infinite matrix of meiotically regenerating Universes",,,,,,,,,,
alithooss,"Some days are just bad days, that's all. 🌼🌼You have to experience writing blogs to know happiness. 🌼🌼 #blogs #writing #ruby #java #coding #jesus",31-59,,,,,,,,,
khalil_Agha74,"#Digital_media Consultant & Business owner. Combining experiences of every corner of the Web. A fantastic dad and a determined doer, that's why I love London.",31-59,,,,,,,,,
Kirti99466977,hard working professional always paid my taxes due every year,,,,,,,,,,
MarketinGuyz,We help your company gain new customers worldwide. We use our expertise to give you the edge you need to succeed & reach your goals. Izzy Freeman Group🕛🕒🕓🕔,,,,,,,,,,
nmwdesign,Architectural professional | proud dad to one son | likes | travelling | aircraft & flying | technology | F1 🏁| Not PC | views my own | 🏴󠁧󠁢󠁥󠁮󠁧󠁿|🇬🇧,31-59,,,,,,,,,
geometamorph,"🇬🇧🇺🇸   War is sweet to those who haven't experienced it. We have already paid the price.
#Veterans #Yazidi",,,,,,,,,,
israelradioguy,"Israeli-by-choice, broadcaster,  blogger & Social Media marketing expert.  Hear my Arutz7 show here http://t.co/bTcwIUFi
#Israel #Zionism",,,,,,,,,,
PSLSolicitors,"Specialising in Wills, Probate, Lasting Powers of Attorney and Trusts.  Friendly, trustworthy advice delivered with expertise, efficiency and excellence",,,,,,,,,,
NorthwoodWorcs,"Owner & Director of Northwood Worcester offering professional friendly letting service since 2003. Husband, dad, huge F1 fan. Views my own but not the car!",,,,,,,,,,
GoodgerSimon,"BASIS & FACTS tutor at the University of Lincoln @LIATLincoln. 
25 years' experience in delivering @BASISRegLtd short courses in Lincolnshire. DM for more info.",,,,,,,,,,
CkbacookAnn,1950's born lady who has had pension stolen after paid taxes and NI as professional 'career' musician & peripatetic music teacher for 4 decades Trolls blocked.,,,,,,,,,,
Stephen_Khan_UK,"Boring guy, dad, 50s, British, Anglo-Pakistani & expat. Here for banter and a سالن. Kids, ابو takes no crap. British Islam experts: go away & look at the art.",,,,,,,,,,
aliogilvy,"a bit busy; mum, wife, employee and @emtrains commuter. professional Juggler. 🤹‍♀️ 🤹‍♀️",,,,,,,,,,
karlhenry08,"Former Wolves, Stoke City, QPR, Bolton and Bradford City professional footballer. Proud ambassador of the @wwfcfoundation",,,,,,,,,,
aliceporter123,22; professional dancer. Represented by Love Rudeye | Event Model Management | Lindt Creative | Alexander Baker Management | Gawz Dance Agency 💃🏼,below30,,,,,,,,,
tim_moose,"MUFC supporter 50+ years. LUHG. Cricket lover, played good standard. Finance expert, followed Economics & Politics since 74",,,,,,,,,,
JoPerry77,"Fun loving, energetic & passionate HR professional consultant, domestic goddess & most importantly Mom to Bella xx",31-59,,,,,,,,,
TracieBere,"An intrepid traveller, high on life and a professional Maverick Marketer! All posts are my own personal opinion and not affiliated to any other organisation.",,,,,,,,,,
KarenWrightcoms,"PR, communications & marketing professional and writer specialising in agribusiness, particularly livestock sector, and environment.",,,,,,,,,,
B36Brown,"Social Worker expertise in Safeguarding and Adult mental health, Organisational Consultant to failing organisations & Executive Coach",31-59,,,,,,,,,
