,screen_name,name,description,female
105826,europechris,Chris,Rejoined Labour to help make Labour electable again. Blairite and not a fan of Corbyn or the Tories. Remain Supporter. #FBPE,
105873,CHarmerSands,Clea Harmer,CEO Sands,
105946,netsmith72,Lawrence Smith,,
106001,MelbourneCarrie,Carrie Melbourne 🕯🕊🌱🐟,"Musician, Trader & European 🇪🇺💫🌟 Read Truth, tell Truth, be truthful please 🌱🕊🐟🍞🙏Be holy & gentle: (this takes work) ...",
106020,DevaCaerCastra,Noel McGlinchey,Sailor / Remainer / Recycler/ Grandfather / #FBPE,
106039,ElaineLELampre1,Elaine L@ELamprell,,
106153,margb38,MargB20#FBPE🎪🇪🇺🏴󠁧󠁢󠁥󠁮󠁧󠁿🕷🔶,"Yorks born Wife, Mum, Nana, Sister & Auntie M. Europhile, Rejoiner #KEEPALIGHTBURNING #IAMEUROPEAN #LIBDEMS. WILL NOT REPLY TO DMs.",
106276,DavidCulliford1,🕷️David Culliford🕷️,"incredibly proud Dad, Welsh, glass half full, and a bit too lazy for some. Marw mewn ffos",
106560,priggers,Peter Rigby,,
106619,Gwynforhughes,Gwynfor Hughes,Retired Police Officer. Lifelong fan of Swansea City,
106636,Newsright2,Newsright,,
106729,patrick_wylde,Patrick Wylde,Politico. Free thinker. #despitebrexit 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇬🇧 31.01.20,
106795,JDBoodt,James Boodt,"I do marketing strategy at McCann. Then I get feedback, and I do it all over again, but much, much better.",
106922,dan_roberts4,Daniel Roberts,,
106960,Cordwalles1,@_Cordwalles,"We are an inclusive, forward-thinking, creative junior school striving for excellence  - Creating a Journey of Success for EVERY learner in our community.",
107007,grant_findley,Grant Findley LLB LLM BVC,"Hardworking businessman, innovator, entrepreneur and philanthropist. centre right, brexiteer, wants to encourage children of all ages and groups. views my own",
107013,ROSaunders,Robert Saunders,,
107028,nannajennie,jennifer wilson,it’s nice to be nice,
107115,hobbsio,Hobbsio,I'm a lovely lovely geezer...!! Millwall boy till i die..!!,
107262,lancsmon,where’s democracy gone,,
107290,KatiaMalcaus,Katia Malcaus Cooper,"Mother, Chairman of the Briars Centre Community Association & Windlesham Parish Council Cllr for Lightwater. Views are my own.",
107355,DrMW,Miles Watkins,"General Manager AGR Living. Leading diverse teams to achieve great results. Adventure racer, dad of two and real ale man in the mean time.",
107471,MarkCol22474959,Pep Coleman,Posh and Peterborough Sports supporter. Single and disabled. Reluctantly self partnered. 22/92,
107484,Graham_D_1970,Graham,"Tranmere fan. Probably on a train somewhere between Glasgow, Newcastle, Leeds or London. Dogs are Gods.",
107506,denpapwp123,Anthony Denny,Love Europe. Don’t like the EU. No DM’s please.,
107980,RussNeale,Russell Neale,"Talking rubbish, one word at a time..",
108114,HMRCnoreason,HMRCnoreason,Affected by the loan charge. Waiting for our honourable MPs to do the right thing and stop this pernicious law affecting thousands of people,
108119,pjc1968,Patrick Curley,,
108124,HmrcVictim1,Hmrc_Victim,Another Hmrc victim of the #LoanCharge,
108195,Rachael2Win,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Rachael Hamilton MSP 🇬🇧,"Scottish Conservative MSP Ettrick Roxburgh & Berwickshire, Shadow Cab Sec Rural Affairs & Tourism, Co-Chair @scottories @W2WScotland Grad @Harperadamsuni",
108244,A_skinn2017,Andrew Skinner,Atheist Glaswegian from the United Kingdom (UK) 🇬🇧🏴󠁧󠁢󠁳󠁣󠁴󠁿,
108304,scotlandgundogs,Lammermuir Gundogs,"For all gundog training, obedience and dog behavioral problems in the Scottish Borders.",
108359,charlesjkennedy,charles kennedy,Views are my own and not of my employer or any organisation I am connected with.,
108366,noindyref2,UniteNotDivide 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇬🇧,Say NO to more divisive referenda and let’s move forward together!,
108431,araelyon,Andrew Lyon,I paint pictures. Quite enjoy playing musical instruments too....,
108517,eileenmaud2,Eileen Thornton,"Author @ Next Chapter #ASMSG #NextChapterPub 
Check out my author page at Amazon https://t.co/scAiVNCp5f… and my blog https://t.co/iKm4YNR1ZQ",
108542,pippppers,pip,Jedforest hunt🐶🐴🐺🎺. sponsored by J.S. Crawford 2rd Generation Ltd. You're nobody until you're talked about,
108719,Brownbrock,Browner 🇬🇧 🐓 🇬🇧 ⚒️ 🇬🇧,"A Northern Irish Unionist, a Glenman, a Rangers man, a happy Hammer, a husband and a dad.",
108807,farmerrayner,Colin Rayner,Windsor and Maidenhead Farmer & Landowner. Farming since 1541. Farm contractor since 1979.,
108831,AListLondon_LA,JoJo,Are you on the Style List ? Read my blog on https://t.co/EgEFN6pWBl to... inspire. Desire.Aspire.,
108859,SpydaLC2019,Spyda,#STOPtheLoanCharge #NoRetrospectiveTax #IFB #LoanCharge,
108862,Cglen15,Cglen,Out and about sunshine or cloud,
108872,friendsoftwbs,Friends Of TWBS,Welcome to The Friends of The Windsor Boys’ School.The school is fortunate to have an active group of parents who fundraise for the school and hold events.,
109118,drkevwe,DrKevwe,Personal Blog; Health Promotion & Media/Freelance Health Television; Digital Health Advertising #followdrive for #health #Campaigns,
109157,llewellyn_judy,Judy Llewellyn-Burke,"Mid Sussex District Council:Deputy Leader, Member for Bolney Ward.",
109223,JavierNS0001,JavierNS,,
109275,PurpleistheWord,PurplePrincess Ⓥ 🔱,'humans' must become PEOPLE - 'Peaceful Empathetic Open-hearted Perceptive Loving Evolved' for our world to know PEACE. Choose Vegan 🌱 and Live Kind,
109349,Dominica_Mora,D. Damali Edwards,Music is what propels me. And Laughter is my Release.,
109352,chuckwarbird764,chuck@warbird762,nra member hunter conservative grandfather supporter 2A Guns God and Trump no sharia build the wall back the blue,
109370,_tomsett,ben 🇬🇧🏳️‍🌈🌳,'yikes' | Retweets and likes ≠ endorsements,
109788,Alice666Uk,Alice,Patriotic Parent. #ASD #RareChromo in the family. 💙 Animals. #EndNonStun #TrailHuntLies 🦊 #FreeSpeech #Democracy 🇬🇧,
109890,AnnB7,Ann Boulton,"Cricket, cricket and more cricket!",
109895,Rajgupta147741,Rajesh gupta,"Parents,Pets, Politics ( right wing) are what I like the most in the world  (in exact same order) 


If you have an issue with what I like, then Fuck off",
109959,Thomas_Broom,Thomas Broom,@Conservatives candidate for Buckinghamshire Council in Gerrards Cross | Chairman of Hedgerley Parish Council,
110016,wildernessshout,who?,,
110073,KieranWirral,Kieran Collins,Conservative | Pro-Brexit #GetBrexitDone | Boris and Trump supporter 🇬🇧🇺🇸,
110077,SwissFederalist,M. C. Roggo,"Music, literature, philosophy and political comment. Friend of Florida and the U.S.A. The New Right for everyone. Together against socialism. #StopSocialism",
110089,sachelsquirell,Rich,,
110273,gam_catty,Gam Catty,“Live with no excuses and travel with no regrets” ~ Oscar Wilde,
110338,StockNeil,Neil Stock OBE,Leader of Tendring District Council. MD of small business. Father of three so almost a full-time chauffeur!,
110379,bea_johanssen,Bea Johanssen,"The best lack all conviction, while the worst are full of passionate intensity.",
110411,mattielb,Matthew Brown,"Anti Globalist, Brexiter and a true Conservative.",
110458,FrewerIan,Ian Frewer,"former columnist, broadcaster, author and controversialist.",
110592,donnawh1te,Donna White,"originally a remainer but respects the referendum result! If you want a better life, get off your arse and work for it! anticorbyn/antiswinson/antisturgeon!",
110686,tatbbfar,Anthony Whitworth,"Christian,likes=Farage&Trump=Honesty,hates liars.goal live & let live in peace,will fight if country is threatened by take over off any foreign power.",
110791,CameronSimoneau,Cameron Simoneau,"A life far better than deserved! Boston Sports, Rice Owls, Running...Mary, Reagan, Brady, Julian and Sophie-Anne.",
110817,Jonna2016,Joana Babusku,3FP: Family. Friends. Fun. Passion.,
110819,UKinRNMacedonia,UK in North Macedonia,Latest news from the British Embassy Skopje.,
111019,GHFalklands,Government House🇬🇧🇫🇰,Supporting Falkland Islanders as they determine their own future,
111195,Harmunt,Neil Harman,If it plays games then I’m all over it... Like a hawk on a titmouse. (Fairlight profile pic by @GaryArnott),
111334,DavidEzra66,David Ezra,Loves West Ham. Views all my own etc. Gravity and distance change the colour of right.,
111379,Steven_Daniel92,Steven,united,
111402,mention_it,mention_it,Views mostly centre right and likely my thoughts at the time! - You ‘reap what you sow' - Europe but not EU - veteran (RE) - RT’s not endorsements,
111458,Susan1111962,Susan and Charlie,“Travelling this journey with my best friend Charlie by my side”,
111482,jeremiah_sav,Jeremiah Patrick Sav,"Not a fan of T Blair, P Mandelson, S Platter, A Campbell, A Salmond, R Brand, Adolf, Kim Jun and Vladimir",
111517,liveD15,Terry Williams,,
111687,teksearch,Gary Taylor,Executive search Partner @360Leaders.com,
111706,KimDavi45030429,Kim Davis,,
111744,mrjohn12345678,John.,,
111826,GreywolfP,2020Vision,,
111876,Kennyangel,Ken Rollings Independent Brexit PPC,"If your opinion on life is the same when you're 40 as when you were 20, you've wasted 20 years of your life",
111877,Malcolmtodd11,Malcolm todd,Proud English Man two dogs love sailing,
111975,Suflay,Sue Faye Allen,"Mum of two, both with eye diseases. sports mad, used to be a competitive ice skater in my youth.  Love laughter and happiness",
111985,kieranturner8,Kieran Turner,"🇬🇧🇦🇺🇨🇦🇳🇿  #CANZUK

Environmental Hazards & Disaster Management BSc (Studying)",
112053,entitled2speak,pragmatic,"After rise of racism and extreme nationalism in England, I now fully support Scottish Independence.

Let's save Scotland from English moral cancer.",
112226,uksarge1,wayne sarginson,,
112245,Rolloc,Rollo Clifford,"Love Exmoor, love my grandchildren, and family, and friends,blessed to live in paradise, thank God!",
112418,gazzy1970,Gazzy,,
112588,NikWatkins1,Nik Watkins,,
112692,LeoApelles,deric wood,"Common Market supporter yet voter for Brexit; WW2 baby; democrat and Democrat; Attlee Labourite; resident of Zaire (DRC), Belgium, Saudi Arabia, Thailand, UK.",
112746,jannerpilgrim,Nick Quirk,Activist for the RMT Union • Argyle • Man of the Left • Keep it Mod • DDR,
112852,davidH4HRout,David Routledge,"Ex RAF, Band of Brother, Regional Volunteer Coordinator at Help For Heroes, Vice Chairman of the RAFA 1370 Branch",
112891,thedogman09,#barksatpassingcars,I’m only here for the GIFs,
113001,fresh37300106,Ann Garner,💯🇺🇸🇬🇧 HERE TO SUPPORT TRUMP #MAGA 2020,
113036,UKWingman,WINGMAN,"Wingman to the World keeping it real. Head in the Clouds but feet on the Ground !! ""We breath without thinking we smile by choice""",
113048,ThomcLUFC,Thomas Crowther,"Aspiring to be as good a human as Marcelo Bielsa
NE /Notts",
113197,moanahleeza,Lloyd Christmas,,
113209,MastrYourHealth,Paul jefferies,Great Master Tutor of Okinawan Bodywork Dynamics which expands instinctive movements of healing.Great Master 8th Dan Tai Chi Qigong Kubudo Okinawan Te. Author.,
113211,Denis44556327,Denis,"Hard working, honest to a fault, believes in fair play to all.",
113225,StuParmenter,Stuart Parmenter,"Gentlemen, you can't fight in here....This is the War Room - President Merkin Muffley",
113230,mrjordanwylie,Jordan Wylie,Bestselling Author | Extreme Adventurer | Charity Fundraiser | National Ambassador for Army Cadets | Channel 4’s Hunted (Hunter) 🎥 New Book Link Below ⬇️,
113274,BrokenshireLisa,Lisa Penrose,,
113283,JPSargeant78,John Sargeant,"Blogger, caregiver to SLD brother, passionate about secularism and challenging extremism whether political or religious. Writes @HuffPostBlog & blog below",
113288,up_again,Up_Again,#Burgon4Deputy #RLB4Leader put people first! DEMOCRATIC SOCIALIST ✋🌹🌹 #AusterityKills #ToryLies #GTTO,
113326,wiillsjd,Kevin Wilson,just a cranky old white guy with zero white guilt,
113380,commoperator,Papa Mike Bravo,Ex RN Submariner. CRPS. Harry Bosch fan. My tweets represent my own opinions unless I've re-tweeted then I might agree with them. 🏴󠁧󠁢󠁥󠁮󠁧󠁿,
113388,malcolmmawdsley,M.M Ainsley,Interested in human progress,
113408,Whitebeamsebus,Karen Wilde,"Happily married. Proud wife, mother and grandmother, who loves exploring our amazing world. Work hard, play harder, family is everything.  Voted Leave.",
113461,MikeyKayNYC,Mikey Kay,"Independent Journalist-seeking truth not neutrality| Global Security Expert| Social Impact Filmmaker| Fmr military heli pilot: Iraq, Afghan| IG @mikeykaynyc",
113675,Jackalanch,Jack Kennaugh,"Tory from Liverpool, Deputy Chairman Nuneaton Conservatives, Conservative candidate for Barpool #Nuneaton",
113696,toadmeister,Toby Young,General Secretary of the Free Speech Union (https://t.co/63ZEuAz34i),
113714,jmac_john,John McHale,"V.T.I.D. Yiippee aye aaaayyyy, yippee aye ohhhh Holte enders in the sky.....",
113778,scs1304,Stephen Sawrey,"Insurance Professional. Prefer Road Maps. Kids finished Uni one still cluttering house, other now in Scouseland..LUFC,WCCC, New England Patriots, Red Sox",
114014,sutty090,Mike,"It's not who you are that holds you back, it's who you think you're not..... All views expressed are my own.",
114133,iammaeve,Clare Ambrosino,@NewingtonComms | Conservative Parliamentary Candidate - Easington GE19 | Inspirational Woman in PA Shortlist 2019 | Any Man Politics' (2015): https://t.co/KxVbrSzKmf |,
114230,Wildisonmine,James Manc-Ragindale,"Family,Music MUFC Wildlife U.K.Hate #BiasedBBC,#LoathsomeLefties,#CorruptEU.Followback Brexiteers 🇬🇧🏴󠁧󠁢󠁳󠁣󠁴󠁿🏴󠁧󠁢󠁷󠁬󠁳󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🇺🇸🇮🇱",
114236,robmoat,Robin Cathcart,"Proud Ulsterman , Glasgow Rangers supporter ,pro Israel ,pro Brexit",
114271,SuperG1970,Grace Robinson,Ex Prison Governor living life to the full in Leicestershire :-),
114275,pirwany,Hyder Ali Pirwany,"Born 17 March 1941 of Sindhi parents in Karachi, British India.Widower with two daughters not living with me. I love @lfc. Retweets not necessarily endorsement.",
114430,UNCERTAINBREXIT,CONCERNED CITIZEN,"At this point; I’m simply concerned about the mess this country has ended up in and hope the uncertainty ends soon. Like most, I’m feeling politically homeless",
114502,cath277,CatBob,,
114656,SarahGr09087758,Sarah Gregory @ CIF,"Head of Creative Careers, Creative Industries Federation",
114698,Loughlibvol,LLLSV,We are the Volunteers at Loughborough Library Local Studies,
114819,alastairmciver,alastair mciver,"Features editor on tennis mag; charity fundraiser, charity growth and advocacy; speaker; Christian; love Jesus, love Church, love people, writing first novel...",
114868,mhopkinsfco,Melanie Hopkins,"Diplomat, Mother, culture-nut from Ross-On-Wye. British High Commissioner to Fiji and Head of the Pacific Network. 🇬🇧🇫🇯🇰🇮🇹🇴🇹🇻",
114910,corbymac,corby macdonald,"Managing Director at Vickers Young Limited, Mortgage Brokers and Financial Services, insurances, Forest fan, served Royal Navy 23 years. All views are my own.",
114912,JasonWhittenham,Jason Whittenham,Don’t follow me because I don’t even know where I’m going!,
114921,nga_vicky,Vicky Dang,,
114938,trieuphu10,Phan Trieu Phu,"TB Doctor and Research Coordinator, TB fighter. @OUCRU_Vietnam",
114976,tree_trinity,Trinity Christmas Tree Festival 🎄,Trinity Christmas Tree Festival | Trinity Church Wimbledon | 6th-8th December 2019 | Fundraising in aid of London’s Air Ambulance Charity,
114995,WoooItsJaake,Jacob Jones,23 | Graphic Designer. | Gaymer | Gay and Proud | 🏳️‍🌈🏳️‍🌈🏳️‍🌈 |,
115019,kitte777,Christel Cowdrey,Accredited Mediator ADR; Writer;Int Bestselling Author; VoiceOver Artist; Collaborator; fun; christelcowdrey@screenandscript.co.uk,
115153,eu_nhs,EU Medics for the NHS,"We have practical, proven, low cost ""total"" solutions to the NHS #Staffshortages, We can reduce #CO2 on a huge scale, and we can protect against #Coronavirus.",
115159,WimbledonWIMF,WIMF,"Book Now for the Wimbledon International Music Festival, 9-24 November 2019. Visit our website for the finest concerts.",
115230,ppeterclay,Peter Klay,Man,
115244,odokasa,odo boni,chaos is a ladder,
115283,retrotaxvictim,Richard Horsley,"Father, cyclist, LCAG co-founder- fighting the adversity of the Loan Charge and IR35.",
115285,NeilSalt2019,Neil Salt,"President of Streatham Conservatives, Conservative Party activist and cross-Party advocate for transport infrastructure improvements for Streatham. #Streatham",
115466,rhidian33,Rhidian Williams,Ex RAF now self employed and chilling it up in Cornwall,
115487,AndrewJordan78,Andrew Jordan,,
115511,LauraPearsall_,Laura Brooker,"City Councillor for Abbeymead, Gloucester. Vice-Chair of Licensing. Wife & Mummy - love my family and want to make a difference! All views are my own.",
115680,TheVOTTE,The VOTTE,The Voice of the T-End - 100% Unofficial Gloucester City AFC Twitter fanzine!,
115698,BednallBrock,Brock Bednall,,
115799,Alwinner,🇪🇺Alwin 🇪🇺,grumpy atheist physicist tennis player cyclist rugby fan novelist Dutch South African. Opinions are not those of my employer or any other.,
115882,RousseauAgnes,Rousseau Agnes,Parisienne qui s'intéresse à l'étude interdisciplinaire des questions religieuses et aux revues de sciences sociales.,
115935,Chrispap0212,Chris Pap,,
116071,dangissane,Cllr Dan Gissane,"I turn websites into profit-making machines. Founder of ADDtrepreneur, the resource for ADHD entrepreneurs. Politician, Trustee, father of 4.",
116158,cmf871,Chris Frazer,,
116196,joeowengrant,The Shane Lizard,"would you like a 𝓈𝓌𝑒𝑒𝓉𝒾𝑒? 𝓪 𝓼𝔀𝓮𝓮𝓽𝓲𝓮.  these are ˢᵐᵃʳᵗᶦᵉˢ, indeed.  ᴀ ᴀʙsᴏʟᴜᴛᴇʟʏ  𝙨𝙩𝙪𝙥𝙚𝙣𝙙𝙤𝙪𝙨  ｃｏｎｆｅｃｔｉｏｎａｒｙ.",
116199,vinceheaney,vincent heaney,a man of independent mind out on the boundary and still crazy after all these years,
116201,JimboCharlieAsh,James Charles Ash,"Tech, sport, history, politics, critic, writer, progress, Brit 🇬🇧, repeat. Opinion are my own...",
116222,Diandra4,Dianne,,
116309,timbo_uk_2000,Tim Bates,"GP and Medical Acupuncturist, Surrey, UK. Proud to be British, ashamed to be English. Views my own.",
116391,Old_andInTheWay,John Walters,"Dylan fan since 1962 ditto jazz, blues, folk and soul buff. Proud Dad and Grumpfather. Very happily married! Life-long Fulham fan. P.Eye and Oldie reader.",
116467,BetterBankside,Better Bankside,"Better Bankside is a Business Improvement District (BID), we exist to make Bankside a better place to live, work and visit.",
116600,Orgetorix,Nino Brodin,"International Relations, Geoeconomics, Geopolitics, WGS: Geography & Geodecy, Econometrics, History of Public Broadcasting.",
116605,Prospect_events,Prospect Events,"Bringing together politicians, industry experts and the latest trends in academia with @prospect_UK – the debate starts here!",
116661,Ktw85028222,Ktw,,
116678,dunnemartin3,Pickedthewrongday,"Love sunshine, kind people,  laughing, people being decent to each other. Kindness is contagious,  I hope someday that everyone on our planet gets it 👌",
116742,fran_zip,Fran Willis,,
116838,alassmith,Jackie Smith,Unreliably reliable...,
116854,stuartryderhot1,stuart.ryder@hotmail.co.uk,,
116867,fugitiveink,Barendina Smedley,"Likes saving things, doesn't like wrecking things. Strong views on trees and the absence of trees.",
116879,StraceyAnja,Anja Stracey,"https://t.co/8J9y1KhrRx
fb page Anja's Art
#painting #commissions #land&seascape #animalportrait #flowers #meditationmandalas4colouringin in #mentalhealthcarehome",
116900,kateheydonorg,Kate Heydon,"2012 acute proximal DVT with delayed diagnosis of 5 1/2 weeks, leading to clawed R. foot. Former half marathon runner. Earth sciences. Cycles for fun/transport.",
116939,sansid123,sansid123 🇮🇳,"tweets are personal views,retweets just mean something interested me .words are flights of fancy to be enjoyed and get my opinions heard in the universe",
116978,offsidepuppy,A largeJD& fullfatcoke please,"if at first you dont succeed, destroy all evidence you tried...x",
116991,TQGHost,TQGHost,,
117004,HMcTweet,Heather McDonald,"Classical music, performing arts education, antiques, cats, in a 12-step pug addiction program, I support #FreedomOfThePress",
117009,Wriothesley14,Wriothesley,,
117108,Shillcock21,Matthew Shillcock,,
117115,Younglincsbird1,Josh Hedley,17 y/o birder. Based in West Lincolnshire.,
117159,oli_cary,Oli Cary,,
117180,LegalBeagles,LegalBeagles,LegalBeagles is a forum-based website where people share experiences and assist one another in dealing with various consumer and legal issues.,
117324,OliverMField,Olly Field 🦊🌾,"Sarcastic Ginger 🦊 | Vegetarian 🌱 | ""Mayite"" Conservative 🌳 | Politics 🗯 | History 🏺 | Cake 🧁 | General Gayness 🏳️‍🌈 |",
117344,ElizabethHemlo1,ElizabethHemlock,"NHS Policy Manager, Project Manager, Award Winning Film Producer and Exec Producer. Enthusiast for life and learning. My own views",
117362,souter_oksana,oksana souter,,
117367,DonBeukes,Don Beukes #iamdonbeukes,"Author•Belhar•Cape Town•London•Paris•Madrid
https://t.co/zVooVWhEoy PushcartNom•Translator•Reviewer🇿🇦🇬🇧🇫🇷🇪🇸 #stonewhisperer #cloudwhisperer",
117407,KsTaintmodern,TaintmodernKS,"Small gallery in Kirkby Stephen, Cumbria. Art, photos, cards, jewellery, journals, floral art and wood carving",
117429,WoodfordinDK,Shane Woodford,"Freelance journalist in the EU. Formerly News Director and Talk Show host @RadioNLNews, former journo @CKNW, and @CBCVancouver. Email: shanewoodford@hotmail.com",
117459,Errant_Dave,David Thornthwaite,"'Ours was the marsh country, down by the river.' Books, especially novels. Films, especially documentaries. History and politics. Often writing ironically.",
117463,fishforalex,Alex Fisher,"Expat in Erbil, Iraq. NGO worker. Photographer. 4 years in Myanmar. My best days involve photo, video, travel, words and random exploration.",
117477,sanzo0260,Zero,NO SEED HAS IT'S CLASS WRITTEN ON IT,
117481,OGHARIT,Sam Johanson,"Despise tyrants & their Mafia regimes. Syria is main interest. Retweets aren't necessarily endorsements. Eng/Arabic
if you can put up with my typos follow me.",
117491,BenjaminoKnobi,Ben 🏴󠁧󠁢󠁷󠁬󠁳󠁿🐲🚀🇬🇧🌎,Break the Wheel,
117509,pammiemck,Pam Mackay,"Mum of a firefighter and an RNLI crew member so v proud, if anxious.RNLI Ed volunteer. lost Mr M after 16yr fight with Myeloma. #ValueEveryDay #OldLadyWalking",
117565,MarilynMountfor,Marilyn Mountford,"Authoress, keen plant lover and flower arranger. Pls support Hamblin Centre https://t.co/UA6RELA15d",
117630,rsteenireland,rosemary steen,"personal account, She/Her Mum, CEO @DCCIreland Supporter of Makers,Irish ☘️ fashion design and crafts #DesignIreland https://t.co/pKoX4Z7zLR views my own",
117640,beanoblerogers,bea noble-rogers,"Hard work , results, humour",
117649,LindaJFisher,Linda Fisher,,
117671,Axolotl42,El Pacho,Link in Bio,
117683,Cameron_Merron,Cameron Merron,,
117699,robcrilly,Rob Crilly,"White House correspondent for the Washington Examiner. Old Africa hand, former Afghanistan and Pakistan corr of The Daily Telegraph, author of Saving Darfur",
117735,byDennisada_MH,bydennisada mediahouse,"#Storytelling 
#Arts
#Cultures
#Design
#Philosophy 
#Photography
#Videography
#Technology",
117778,Thegingertom1,Ginger Tom,,
117805,lennylaw,Dando Shaft 🚠,Father. Husband. Dentist. Cook. Guitarist. Skier. Reader. Comic. Science lover. Beachside explorer. Ponce.,
117818,Muddyoldengr,Muddyoldengr,,
117834,AnnaVMathias,Anna Mathias,Passionate about education and social justice.,
117897,DannyCruse2,Danny Cruse,,
117898,tiernanbourke,tiernan bourke,,
117903,Harrie_Be,Harriet Rogers,,
117904,trustintalk,paul taylor,"Retired investment manager, non-executive director, support a wide range of charities, committed to social justice & humanitarian causes. Bibliophile, raconteur",
117908,Trickygbh,Trickygbh,1865: the year it all started,
117921,Mikeygy,Mîkey,"English County of Lincolnshire. Dad, Guitarist, CAD Designer. Tech geek and proud of it. Living in a country that's lost it's way. Not right, not left. Normal.",
117951,SallyWo42411402,Sally Wong,Clinical (PhD) Forensic (JD) Psychologist. Private practice USA. Dreamer for world peace.,
118014,VipassanaBoy,Stuart Valentine,"A victim’s perspective on criminal justice, rehabilitation and parole. Also, meditation.",
118080,dpghill123,Dan,,
118094,Scrof,Alex Robbins,"Beard and old BMW owner. Freelance motoring writer (mainly Telegraph Cars, CarGurus, DriveTribe). Enjoys boats, planes, books, slippers. Luther’s human.",
118116,TheGentlemanArc,The Gentleman Architect,"I am The Gentleman Architect and I will design your home, beautifully.",
118196,weedsandwellies,Charlie Davis,Rural Land Mgt Post-Grad Abdn | St Andrews Alum | New Forest Ranger 🏴󠁧󠁢󠁳󠁣󠁴󠁿🌱🐌,
118200,MarianneJonesUK,Marianne Jones,Editor-in-chief of Stella & editor of The Telegraph Magazine,
118228,balconyshirts,Balcony Shirts,"Printing, embroidering & designing all your workwear, sportswear and funwear from our Uxbridge shop.   Email sales@balconyshirts.co.uk for quotes and info.",
118230,BDimyon,Clare B Dimyon MBE [LGBT] #LGBAlliance,"Female #Rape #Survivor - PROUD of the most heroic act of my life when my 18yo self taught a man #Consent while he was raping me. #Dyke
Pronouns: Me, myself, I.",
118279,LBCbackOnDAB,LBCbackOnDAB,Would you like LBC back on DAB in your area?Sign and RT petition https://t.co/6n4osQpVcM,
118380,BrunoHoutenfaus,Simon Templar,Former UK Armed Forces - I could tell you what I did but then I’d have to kill you - I ran away to live in the forest in the nude and eat rare Veal Chops,
118391,yiddo46,Kevin Davies,Proud husband and dad! family before anything!Spurs fan.,
118470,sanice90516957,s17😷,#standwithHongKong/ Glory to Hong Kong/ 歷史會證明我們正在做正確的事/ 核彈也不割,
118551,DaveTow86637717,Duub,,
118571,harveyslga,Linzi ❄👁💚🇬🇧🌸🦋,"'People will forget what you said, people will forget what you did but they will never forget how you made them feel' ~ Maya Angelou",
118589,maitrijen,maitrijen 🇭🇰✋😷🎗,Awakening through Dharma | Compassion | Engaged Buddhism | Video | @iAwakeTV      she|her,
118598,naniwahito,なにわひと,ハロー,
118615,couldovfooledme,Adriane Taylor,"Fiscal Conservative, Libertarian, Defender of Children, Old Folks and Hardworking Families.",
118635,schwagy_nimnim,Lynda Jane Monks,,
118668,DarrockTina,Tina Darrock,"Director at Carers Break Community Interest Company. Founder of Bodmin's Voice & Bodmin Business groups.
Passionate about People, Fairness, Honesty and Life 💗",
118672,ckwbckwbckwb,chikuwabu,,
118788,t5monkey,robert,"Owner of a company buying and selling Land Rover, Hagglaund, Pinzgauer, new and new old stock spare parts.",
118822,Emmerson4,Tom Emmerson,Lifelong sufferer of Nottingham Forest and England football. Only tweet about football and news dont expect to see what i ate for tea.,
118939,Cookiedisco,Umberto Biro,"one day I'll fly away all comments are my own, 'cept where made clear, thanX https://t.co/BzdK3DLuLb",
119018,FreeHK1388,LoveHK❤️ 😷,,
119025,hkgers2019,HKGERS2019,"香港人可以和而不同，但是非黑白要分明!
加油!",
119200,63_susan,Ginger,"Animal welfarist, atheist & feminist. Gender is not an innate feeling but a tool of oppression used against both female & male.",
119202,Wandywild,Wandy - #IStandWithSelina #FreeSpeech,"I believe in biology. Humans are sexually dimorphic. When the words male and female have lost meaning, no data or statistics will be worth anything.
#genderfree",
119203,vrarda1,Dr vrarda in the wold,Deboosted for no reason 🤐,
119231,Charles23782609,Charles(cb) Baker,all around awesome I fought so u could have high petrol prices sex god👍and new Billy town supporter UTT BREXITfueu,
119264,kim_scrivener,Kim Scrivener,,
119314,jamesdenselow,James Denselow,Head of Conflict Team @savechildrenuk / Middle East Analyst / @SyriaStudies Fellow / Lived & worked in Syria & Lebanon,
119327,Norman_N13,Norman Normal,,
119336,LCVictims,Loan Charge Victims,Loan charge and APN victim. Living in Ireland and getting shagged by the UK tax authorities. It's a long distance relationship I could really do without.,
119341,LadyOfTheStrea1,LadyOfTheStream,Wife of #Contractor who's impacted by the toxic #LoanCharge. #STOPtheLoanCharge #SaveLives,
119414,Heather1Michael,oldvicar42,,
119422,CoakerWebb,Coaker Webb,"Coaker Webb Art and Design showcasing cornish art, Wood and epoxy works.",
119433,Michael27406078,Michael Frost,"lover of common sense, vintage Austin, Jack Russells and the Wolves. Despise the EU and all corrupt politicians and religion.",
119530,Way2PC4me,Way2pc4me,Our politicians foolishly lost the trust of the British people. A tsunami of disgust built against them which many did not survive. it’s called democracy.,
119531,EastmanNigel,Nigel Eastman,,
119532,cokemc,MCC,,
119585,SandyxB,SandyxB,,
